messageType,count,avg_deserialize_ns,max_deserialize_ns,avg_buffer_ns,max_buffer_ns,avg_total_ns,max_total_ns
1,1,5743504.0859375,5743504.0859375,42030.8671875,42030.8671875,5785534.953125,5785534.953125
3,25,25414.10921875,55807.154296875,33.797109375,161.390625,25447.906328125,55836.162109375
10,2,43517.671875,61190.5625,40882.666015625,57470.646484375,84400.337890625,118661.208984375
12,1,67825.54296875,67825.54296875,95613.87890625,95613.87890625,163439.421875,163439.421875
14,1,27731.90234375,27731.90234375,42234.451171875,42234.451171875,69966.353515625,69966.353515625
